"CONTRACT_VALUE_ORIG","CONTRACT_VALUE_LOGNORM","CONTRACT_VALUE_NORM"
217998966,8.12433606538419,279.041533865307
639195550,9.75897416749987,866.450888348784
258753841,8.28753169285694,312.460864178448
233228908,8.30446342026102,316.14956412825
793868990,9.9889157163185,1016.16271270618
284809670,8.42594954463518,343.924848692695
129932766,7.20965237442925,148.020416881692
192852426,8.12782518759193,279.717205618931
364106720,8.94707817065421,493.558803714704
645592626,9.52251118402326,735.464137169729
474456113,9.24628941797867,607.310043494845
370189719,8.88827960215591,473.847692520371
1072314058,10.3386070116874,1294.88387858706
1349870586,11.0326889314982,2094.93378753783
411533942,9.12372822747786,557.847985067445
75470980,6.77432180604782,109.46469312718
209987054,7.98625180083312,253.572028556386
188473856,7.91437918835817,241.249006069822
206199261,8.32197889813992,320.011268720416
192852426,8.12782518759193,279.717205618931
593666468,9.74998052084948,861.066303094473
280295658,8.56966619912629,379.950113661472
558700022,9.56479068016377,757.336515221962
387846213,9.03820151804352,525.738478305366
2687758333,11.3921877101834,2687.758333
1695774741,10.999824050869,2047.75024392718
747662850,10.1803275858613,1160.33654069993
78097426,6.64336167799179,99.9657289290642
1085230353,10.2718164830452,1236.30285269018
30650000,4.72369036345057,26.4224137931034
20414370,4.79037375397003,27.6723594549129
626661192,9.47957273625252,713.897300419342
76947349,6.05167491302841,66.3339215517241
29995611,5.04507980698648,33.0156880485534
152378414,7.38991502730491,167.720476904348
691822847,9.70635407296143,835.417800163262
1309382442,10.7108294066904,1676.02668827329
229003293,8.27808514706439,310.421602050651
627342919,9.82958215950741,909.911334314785
84995092,6.76546621432179,108.794831819078
343618643,8.86352511495814,465.786531962799
99998451,6.91592906687828,120.754158837651
644824183,9.60485726502513,778.664079669998
540806570,9.35106409273518,653.056540388062
525517925,9.17599645708954,578.429153375908
179947993,7.93029681471626,243.92550666448
2.5e+08,8.40464489795,338.883338732875
504873883,9.3359378223376,646.245187790723
556268658,9.47579659498557,712.031173439216
623554791,9.64053110675365,798.15830562105
386935143,8.95210653934873,495.28205472824
206383723,8.12804599633752,279.760020441443
204987192,8.03554854341654,262.386292595636
1115775133,10.1238305885372,1115.775133
